Hardware Time,Global Time\Signal,CAN1.EEC1.Engine_Speed,CAN1.EEC2.Accel_Pedal_Pos,CAN1.EBC1.Brake_Pedal_Pos,CAN1.CCVS1.Vehicle_Speed,CAN1.LFE.Engine_Fuel_Rate,CAN1.LFE.Engine_Inst_Fuel_Economy,CAN1.LFE.Engine_Avg_Fuel_Economy,Raw Data
52.583016,2026-08-31 04:05:21.701,0,,,,,,,CAN=52.583016 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
52.603088,2026-08-31 04:05:21.721,0,,,,,,,CAN=52.603088 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
52.613121,2026-08-31 04:05:21.731,,0,,,,,,CAN=52.613121 Rx 0 $0CF00200 D 8 FF 00 FF FF FF FF FF FF 
52.623152,2026-08-31 04:05:21.741,0,,,,,,,CAN=52.623152 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
52.643221,2026-08-31 04:05:21.761,0,,,,,,,CAN=52.643221 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
52.66329,2026-08-31 04:05:21.781,0,,,,,,,CAN=52.66329 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
52.663872,2026-08-31 04:05:21.781,,0,,,,,,CAN=52.663872 Rx 0 $0CF00200 D 8 FF 00 FF FF FF FF FF FF 
52.664462,2026-08-31 04:05:21.782,,,0,,,,,CAN=52.664462 Rx 0 $18F00100 D 8 FF 00 FF FF FF FF FF FF 
52.665052,2026-08-31 04:05:21.783,,,,0,,,,CAN=52.665052 Rx 0 $18FEF100 D 8 FF 00 00 FF FF FF FF FF 
52.665646,2026-08-31 04:05:21.783,,,,,0,0,0,CAN=52.665646 Rx 0 $18FEF200 D 8 00 00 00 00 00 00 FF FF 
52.683357,2026-08-31 04:05:21.801,0,,,,,,,CAN=52.683357 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
52.703426,2026-08-31 04:05:21.821,0,,,,,,,CAN=52.703426 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
52.713459,2026-08-31 04:05:21.831,,0,,,,,,CAN=52.713459 Rx 0 $0CF00200 D 8 FF 00 FF FF FF FF FF FF 
52.723493,2026-08-31 04:05:21.841,0,,,,,,,CAN=52.723493 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
52.743565,2026-08-31 04:05:21.861,0,,,,,,,CAN=52.743565 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
52.763627,2026-08-31 04:05:21.881,0,,,,,,,CAN=52.763627 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
52.764209,2026-08-31 04:05:21.882,,0,,,,,,CAN=52.764209 Rx 0 $0CF00200 D 8 FF 00 FF FF FF FF FF FF 
52.764799,2026-08-31 04:05:21.882,,,0,,,,,CAN=52.764799 Rx 0 $18F00100 D 8 FF 00 FF FF FF FF FF FF 
52.765389,2026-08-31 04:05:21.883,,,,0,,,,CAN=52.765389 Rx 0 $18FEF100 D 8 FF 00 00 FF FF FF FF FF 
52.765983,2026-08-31 04:05:21.883,,,,,0,0,0,CAN=52.765983 Rx 0 $18FEF200 D 8 00 00 00 00 00 00 FF FF 
52.783696,2026-08-31 04:05:21.901,0,,,,,,,CAN=52.783696 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
52.803765,2026-08-31 04:05:21.921,0,,,,,,,CAN=52.803765 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
52.813799,2026-08-31 04:05:21.931,,0,,,,,,CAN=52.813799 Rx 0 $0CF00200 D 8 FF 00 FF FF FF FF FF FF 
52.823834,2026-08-31 04:05:21.941,0,,,,,,,CAN=52.823834 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
52.843901,2026-08-31 04:05:21.961,0,,,,,,,CAN=52.843901 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
52.863968,2026-08-31 04:05:21.981,0,,,,,,,CAN=52.863968 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
52.86455,2026-08-31 04:05:21.982,,0,,,,,,CAN=52.86455 Rx 0 $0CF00200 D 8 FF 00 FF FF FF FF FF FF 
52.86514,2026-08-31 04:05:21.983,,,0,,,,,CAN=52.86514 Rx 0 $18F00100 D 8 FF 00 FF FF FF FF FF FF 
52.86573,2026-08-31 04:05:21.983,,,,0,,,,CAN=52.86573 Rx 0 $18FEF100 D 8 FF 00 00 FF FF FF FF FF 
52.866324,2026-08-31 04:05:21.984,,,,,0,0,0,CAN=52.866324 Rx 0 $18FEF200 D 8 00 00 00 00 00 00 FF FF 
