Hardware Time,Global Time\Signal,CAN1.EEC1.Engine_Speed,Raw Data
10.757719,2026-08-31 07:25:45.386,0,CAN=10.757719 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.758726,2026-08-31 07:25:45.387,0,CAN=10.758726 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.759726,2026-08-31 07:25:45.388,0,CAN=10.759726 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.760729,2026-08-31 07:25:45.389,0,CAN=10.760729 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.761733,2026-08-31 07:25:45.390,0,CAN=10.761733 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.762736,2026-08-31 07:25:45.391,0,CAN=10.762736 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.763744,2026-08-31 07:25:45.392,0,CAN=10.763744 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.764743,2026-08-31 07:25:45.393,0,CAN=10.764743 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.765746,2026-08-31 07:25:45.394,0,CAN=10.765746 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.76675,2026-08-31 07:25:45.395,0,CAN=10.76675 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.767753,2026-08-31 07:25:45.396,0,CAN=10.767753 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.76876,2026-08-31 07:25:45.397,0,CAN=10.76876 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.769764,2026-08-31 07:25:45.398,0,CAN=10.769764 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.770764,2026-08-31 07:25:45.399,0,CAN=10.770764 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.771767,2026-08-31 07:25:45.400,0,CAN=10.771767 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.772771,2026-08-31 07:25:45.401,0,CAN=10.772771 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.773778,2026-08-31 07:25:45.402,0,CAN=10.773778 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.774781,2026-08-31 07:25:45.403,0,CAN=10.774781 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.775785,2026-08-31 07:25:45.404,0,CAN=10.775785 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.776784,2026-08-31 07:25:45.405,0,CAN=10.776784 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.777788,2026-08-31 07:25:45.406,0,CAN=10.777788 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.778795,2026-08-31 07:25:45.407,0,CAN=10.778795 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.779799,2026-08-31 07:25:45.408,0,CAN=10.779799 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.780802,2026-08-31 07:25:45.409,0,CAN=10.780802 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.781802,2026-08-31 07:25:45.410,0,CAN=10.781802 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.782805,2026-08-31 07:25:45.411,0,CAN=10.782805 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.783812,2026-08-31 07:25:45.412,0,CAN=10.783812 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.784816,2026-08-31 07:25:45.413,0,CAN=10.784816 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.785819,2026-08-31 07:25:45.414,0,CAN=10.785819 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.786822,2026-08-31 07:25:45.415,0,CAN=10.786822 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.787822,2026-08-31 07:25:45.416,0,CAN=10.787822 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.788829,2026-08-31 07:25:45.417,0,CAN=10.788829 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.789832,2026-08-31 07:25:45.418,0,CAN=10.789832 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.790835,2026-08-31 07:25:45.419,0,CAN=10.790835 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.791839,2026-08-31 07:25:45.420,0,CAN=10.791839 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.792842,2026-08-31 07:25:45.421,0,CAN=10.792842 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.793849,2026-08-31 07:25:45.422,0,CAN=10.793849 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.794849,2026-08-31 07:25:45.423,0,CAN=10.794849 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.795852,2026-08-31 07:25:45.424,0,CAN=10.795852 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.796856,2026-08-31 07:25:45.425,0,CAN=10.796856 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.797859,2026-08-31 07:25:45.426,0,CAN=10.797859 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.798866,2026-08-31 07:25:45.427,0,CAN=10.798866 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.79987,2026-08-31 07:25:45.428,0,CAN=10.79987 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.800869,2026-08-31 07:25:45.429,0,CAN=10.800869 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.801872,2026-08-31 07:25:45.430,0,CAN=10.801872 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.802875,2026-08-31 07:25:45.431,0,CAN=10.802875 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.803882,2026-08-31 07:25:45.432,0,CAN=10.803882 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.804886,2026-08-31 07:25:45.433,0,CAN=10.804886 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.805889,2026-08-31 07:25:45.434,0,CAN=10.805889 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.806889,2026-08-31 07:25:45.435,0,CAN=10.806889 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.807892,2026-08-31 07:25:45.436,0,CAN=10.807892 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.808899,2026-08-31 07:25:45.437,0,CAN=10.808899 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.809903,2026-08-31 07:25:45.438,0,CAN=10.809903 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.810906,2026-08-31 07:25:45.439,0,CAN=10.810906 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.811909,2026-08-31 07:25:45.440,0,CAN=10.811909 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.812912,2026-08-31 07:25:45.441,0,CAN=10.812912 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.813916,2026-08-31 07:25:45.442,0,CAN=10.813916 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.814919,2026-08-31 07:25:45.443,0,CAN=10.814919 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.815922,2026-08-31 07:25:45.444,0,CAN=10.815922 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.816925,2026-08-31 07:25:45.445,0,CAN=10.816925 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.817929,2026-08-31 07:25:45.446,0,CAN=10.817929 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.818936,2026-08-31 07:25:45.447,0,CAN=10.818936 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.819936,2026-08-31 07:25:45.448,0,CAN=10.819936 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.820939,2026-08-31 07:25:45.449,0,CAN=10.820939 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.821942,2026-08-31 07:25:45.450,0,CAN=10.821942 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.822946,2026-08-31 07:25:45.451,0,CAN=10.822946 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.823954,2026-08-31 07:25:45.452,0,CAN=10.823954 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.824957,2026-08-31 07:25:45.453,0,CAN=10.824957 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.825956,2026-08-31 07:25:45.454,0,CAN=10.825956 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.82696,2026-08-31 07:25:45.455,0,CAN=10.82696 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.827963,2026-08-31 07:25:45.456,0,CAN=10.827963 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.828971,2026-08-31 07:25:45.457,0,CAN=10.828971 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.829974,2026-08-31 07:25:45.458,0,CAN=10.829974 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.830973,2026-08-31 07:25:45.459,0,CAN=10.830973 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.831977,2026-08-31 07:25:45.460,0,CAN=10.831977 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.83298,2026-08-31 07:25:45.461,0,CAN=10.83298 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.833988,2026-08-31 07:25:45.462,0,CAN=10.833988 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.834991,2026-08-31 07:25:45.463,0,CAN=10.834991 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.835991,2026-08-31 07:25:45.464,0,CAN=10.835991 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.836994,2026-08-31 07:25:45.465,0,CAN=10.836994 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.837997,2026-08-31 07:25:45.466,0,CAN=10.837997 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.839004,2026-08-31 07:25:45.468,0,CAN=10.839004 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.840007,2026-08-31 07:25:45.469,0,CAN=10.840007 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.84101,2026-08-31 07:25:45.470,0,CAN=10.84101 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.842014,2026-08-31 07:25:45.471,0,CAN=10.842014 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.843013,2026-08-31 07:25:45.472,0,CAN=10.843013 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.84402,2026-08-31 07:25:45.473,0,CAN=10.84402 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.845024,2026-08-31 07:25:45.474,0,CAN=10.845024 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.846027,2026-08-31 07:25:45.475,0,CAN=10.846027 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.84703,2026-08-31 07:25:45.476,0,CAN=10.84703 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.848033,2026-08-31 07:25:45.477,0,CAN=10.848033 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.849037,2026-08-31 07:25:45.478,0,CAN=10.849037 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.85004,2026-08-31 07:25:45.479,0,CAN=10.85004 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.851043,2026-08-31 07:25:45.480,0,CAN=10.851043 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.852046,2026-08-31 07:25:45.481,0,CAN=10.852046 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.853049,2026-08-31 07:25:45.482,0,CAN=10.853049 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.854057,2026-08-31 07:25:45.483,0,CAN=10.854057 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.855056,2026-08-31 07:25:45.484,0,CAN=10.855056 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
10.856059,2026-08-31 07:25:45.485,0,CAN=10.856059 Rx 0 $0CF00400 D 8 FF FF FF 00 00 FF FF FF 
