Hardware Time,Global Time\Signal,CAN1.EEC1.Engine_Speed,CAN1.EEC2.Accel_Pedal_Pos,CAN1.CCVS1.Vehicle_Speed,CAN1.LFE.Engine_Fuel_Rate,CAN1.LFE.Engine_Inst_Fuel_Economy,Raw Data
415.990943,2026-07-22 12:01:31.012,5000,,,,,CAN=415.990943 Rx 0 $0CF00400 D 8 FF FF FF 40 9C FF FF FF 
415.991529,2026-07-22 12:01:31.013,,100,,,,CAN=415.991529 Rx 0 $0CF00300 D 8 FF FA FF FF FF FF FF FF 
415.992111,2026-07-22 12:01:31.014,,,150,,,CAN=415.992111 Rx 0 $18FEF100 D 8 FF 00 96 FF FF FF FF FF 
415.992693,2026-07-22 12:01:31.014,,,,500,30,CAN=415.992693 Rx 0 $18FEF200 D 8 10 27 00 3C FF FF FF FF 
416.040965,2026-07-22 12:01:31.062,5000,,,,,CAN=416.040965 Rx 0 $0CF00400 D 8 FF FF FF 40 9C FF FF FF 
416.041551,2026-07-22 12:01:31.063,,100,,,,CAN=416.041551 Rx 0 $0CF00300 D 8 FF FA FF FF FF FF FF FF 
416.042133,2026-07-22 12:01:31.064,,,150,,,CAN=416.042133 Rx 0 $18FEF100 D 8 FF 00 96 FF FF FF FF FF 
416.042715,2026-07-22 12:01:31.064,,,,500,30,CAN=416.042715 Rx 0 $18FEF200 D 8 10 27 00 3C FF FF FF FF 
416.091131,2026-07-22 12:01:31.113,5000,,,,,CAN=416.091131 Rx 0 $0CF00400 D 8 FF FF FF 40 9C FF FF FF 
416.091717,2026-07-22 12:01:31.113,,100,,,,CAN=416.091717 Rx 0 $0CF00300 D 8 FF FA FF FF FF FF FF FF 
416.092299,2026-07-22 12:01:31.114,,,150,,,CAN=416.092299 Rx 0 $18FEF100 D 8 FF 00 96 FF FF FF FF FF 
416.092882,2026-07-22 12:01:31.114,,,,500,30,CAN=416.092882 Rx 0 $18FEF200 D 8 10 27 00 3C FF FF FF FF 
416.141295,2026-07-22 12:01:31.163,5000,,,,,CAN=416.141295 Rx 0 $0CF00400 D 8 FF FF FF 40 9C FF FF FF 
416.141882,2026-07-22 12:01:31.163,,100,,,,CAN=416.141882 Rx 0 $0CF00300 D 8 FF FA FF FF FF FF FF FF 
416.142464,2026-07-22 12:01:31.164,,,150,,,CAN=416.142464 Rx 0 $18FEF100 D 8 FF 00 96 FF FF FF FF FF 
416.143046,2026-07-22 12:01:31.165,,,,500,30,CAN=416.143046 Rx 0 $18FEF200 D 8 10 27 00 3C FF FF FF FF 
416.191458,2026-07-22 12:01:31.213,5000,,,,,CAN=416.191458 Rx 0 $0CF00400 D 8 FF FF FF 40 9C FF FF FF 
416.192044,2026-07-22 12:01:31.214,,100,,,,CAN=416.192044 Rx 0 $0CF00300 D 8 FF FA FF FF FF FF FF FF 
416.192626,2026-07-22 12:01:31.214,,,150,,,CAN=416.192626 Rx 0 $18FEF100 D 8 FF 00 96 FF FF FF FF FF 
416.193208,2026-07-22 12:01:31.215,,,,500,30,CAN=416.193208 Rx 0 $18FEF200 D 8 10 27 00 3C FF FF FF FF 
416.241615,2026-07-22 12:01:31.263,5000,,,,,CAN=416.241615 Rx 0 $0CF00400 D 8 FF FF FF 40 9C FF FF FF 
